Category,Hierarchy,Mapped
 -->  Beg and Barker,Dog Treats - Beg and Barker,TRUE
 -->  Birthday,Dog Treats - Birthday,TRUE
 -->  Bixbi,Dog Treats - Bixbi,TRUE
 -->  Bocce's Bakery,Dog Treats - Bocce's Bakery,TRUE
 -->  Cloud Star,Dog Treats - Cloud Star,TRUE
 -->  Discontinued,Dog Treats - Discontinued,
 -- -->  Boss Dog,Dog Treats - Discontinued - Boss Dog,
 -- -->  Dogbark Naturals,Dog Treats - Discontinued - Dogbark Naturals,
 -- -->  Earth Animal,Dog Treats - Discontinued - Earth Animal,
 -- -->  Einstein,Dog Treats - Discontinued - Einstein,
 -- -->  Happy Howie's,Dog Treats - Discontinued - Happy Howie's,
 -- -->  Homescape,Dog Treats - Discontinued - Homescape,
 -- -->  Nandi,Dog Treats - Discontinued - Nandi,
 -- -->  Polka Dog,Dog Treats - Discontinued - Polka Dog,
 -- -->  Primal,Dog Treats - Discontinued - Primal,
 -- -->  Woof,Dog Treats - Discontinued - Woof,
 -- -->  Zukes,Dog Treats - Discontinued - Zukes,
 -->  Dr Marty’s,Dog Treats - Dr Marty’s,TRUE
 -->  Earthborn Holistics,Dog Treats - Earthborn Holistics,TRUE
 -->  Farm Hounds,Dog Treats - Farm Hounds,TRUE
 -->  Fromm,Dog Treats - Fromm,TRUE
 -->  Frosted Paws,Dog Treats - Frosted Paws,TRUE
 -->  Gaines Family Farmstead,Dog Treats - Gaines Family Farmstead,TRUE
 -->  Givepet,Dog Treats - Givepet,TRUE
 -->  Himalayan,Dog Treats - Himalayan,TRUE
 -->  Honey I'm Home,Dog Treats - Honey I'm Home,
 -->  Inception,Dog Treats - Inception,TRUE
 -->  Kiwi,Dog Treats - Kiwi,TRUE
 -->  Koha,Dog Treats - Koha,TRUE
 -->  Northwest Naturals,Dog Treats - Northwest Naturals,TRUE
 -->  Nulo,Dog Treats - Nulo,TRUE
 -->  OC RAW,Dog Treats - OC RAW,
 -->  Other,Dog Treats - Other,TRUE
 -->  Paws on Chicon,Dog Treats - Paws on Chicon,TRUE
 -- -->  Froyo,Dog Treats - Paws on Chicon - Froyo,TRUE
 -- -->  Packaged/Bulk Cookies,Dog Treats - Paws on Chicon - Packaged/Bulk Cookies,TRUE
 -->  Plato,Dog Treats - Plato,
 -->  Smallbatch,Dog Treats - Smallbatch,TRUE
 -->  Stella & Chewy's,Dog Treats - Stella & Chewy's,TRUE
 -->  The Honest Kitchen,Dog Treats - The Honest Kitchen,TRUE
 -->  Tuesday's Natural Dog Company,Dog Treats - Tuesday's Natural Dog Company,TRUE
 -->  Vitafur,Dog Treats - Vitafur,TRUE
 -->  Vital Essentials,Dog Treats - Vital Essentials,TRUE
 -->  Zignature,Dog Treats - Zignature,TRUE
 -->  Ziwi,Dog Treats - Ziwi,TRUE
Flea and Tick,Flea and Tick,TRUE
Grooming,Grooming,
 -->  Kin+Kind,Grooming - Kin+Kind,
 -->  Nootie,Grooming - Nootie,
 -->  Other,Grooming - Other,
 -->  Pet Releaf,Grooming - Pet Releaf,
 -->  Petcrest,Grooming - Petcrest,
 -->  Project Sudz,Grooming - Project Sudz,
 -->  Skout's Honor,Grooming - Skout's Honor,
 -->  Tropiclean,Grooming - Tropiclean,
Other,Other,TRUE
 -->  Dog Wash,Other - Dog Wash,TRUE
Supplements,Supplements,TRUE
 -->  Calming,Supplements - Calming,TRUE
 -->  Digestive Support,Supplements - Digestive Support,TRUE
 -->  Mobility And Joint Support,Supplements - Mobility And Joint Support,TRUE
 -->  Other,Supplements - Other,TRUE
 -->  Pill Pouches,Supplements - Pill Pouches,TRUE
 -->  Skin & Coat,Supplements - Skin & Coat,TRUE
